@relation train

@attribute att1 numeric
@attribute att2 {False,True}
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 {Centrum,Sołacz,Naramowice,Wilda,Grunwald,Nowe,Starołęka,Winogrady,Rataje,Zawady,Malta,Komandoria,Podolany,Dębiec,Piątkowo,Świerczewo,Jeżyce,Chwaliszewo,Lazarz,Komorniki,Stare,Wilczak,Ogrody,Garbary,Śródka,Bonin,Żegrze,Dąbrowskiego,Plewiska,Górczyn,Winiary,Dolna,Kopernika,Suchy,Lawica,Głuszyna,Szczepankowo,Smochowice,Strzeszyn,Kobylepole,Antoninek,Morasko,Piatkowo,Nadolnik}
@attribute att6 numeric

@data
340000,True,3,16,Rataje,80
329000,True,3,2,Rataje,59
429000,True,3,4,Dębiec,60
349000,True,3,3,Rataje,63
329000,True,4,4,Nowe,20
249000,True,2,2,Grunwald,46
260000,True,2,0,Rataje,40
275000,True,2,9,Rataje,38
263000,True,2,1,Rataje,44
269000,True,2,9,Rataje,49
450000,True,3,11,Jeżyce,50
299000,True,3,2,Lazarz,80
330000,True,4,2,Rataje,62
289000,True,3,3,Rataje,48
750000,True,4,0,Naramowice,133
635000,True,4,3,Grunwald,70
279000,True,2,1,Naramowice,60
399900,False,3,1,Grunwald,34
255000,True,2,1,Winogrady,38
239000,True,2,1,Grunwald,36
229000,True,2,2,Wilda,50
348000,True,3,9,Rataje,65
384000,True,4,0,Grunwald,60
232034,True,2,1,Starołęka,86
270000,True,3,4,Rataje,48
350000,False,5,1,Komorniki,97
240000,True,2,16,Rataje,36
619000,True,4,0,Jeżyce,99
295000,True,3,4,Grunwald,45
349000,True,3,1,Grunwald,57
279000,True,3,0,Winogrady,48
269000,True,3,3,Winogrady,48
250000,True,2,6,Winogrady,42
270000,True,2,4,Jeżyce,43
285383,False,5,4,Winogrady,37
348750,False,2,3,Stare,47
240157,False,2,0,Winogrady,37
285678,False,2,2,Winogrady,42
272800,False,2,5,Winogrady,44
267702,False,2,2,Grunwald,45
327584,False,3,3,Grunwald,21
235000,False,2,3,Winogrady,38
286445,False,2,2,Winogrady,49
156085,False,2,2,Starołęka,30
282000,False,3,3,Winogrady,57
365000,True,4,4,Grunwald,64
519000,True,3,1,Rataje,50
779000,True,3,2,Stare,113
499000,True,4,2,Wilda,120
255000,True,3,0,Grunwald,53
270000,True,3,4,Rataje,48
257000,True,2,5,Rataje,49
499000,True,2,2,Stare,43
399000,True,3,1,Nowe,62
149000,True,3,5,Nowe,56
435000,True,3,5,Wilda,70
400000,False,4,0,Grunwald,81
389000,True,3,3,Stare,49
299000,True,3,6,Jeżyce,70
325000,True,3,3,Lazarz,62
399000,True,3,1,Grunwald,65
279000,True,2,1,Naramowice,60
334117,False,3,2,Grunwald,63
364620,False,3,2,Grunwald,80
529900,True,4,1,Podolany,103
369000,True,4,3,Grunwald,74
329000,True,2,2,Jeżyce,45
320000,True,3,4,Winogrady,54
275000,True,2,13,Rataje,80
295120,False,2,1,Winogrady,60
374000,True,3,4,Wilczak,30
288000,True,3,4,Winogrady,30
340000,True,3,1,Grunwald,70
329000,True,3,3,Piątkowo,60
290000,True,2,6,Sołacz,49
229000,True,4,3,Wilda,54
339000,True,3,1,Grunwald,65
288000,True,3,4,Winogrady,30
280000,True,3,1,Jeżyce,58
295000,True,2,2,Naramowice,50
264250,False,2,2,Jeżyce,29
308039,False,2,0,Winogrady,21
285200,False,2,1,Winogrady,46
346624,False,3,1,Ogrody,54
313566,False,3,1,Jeżyce,51
290970,False,2,0,Winogrady,60
304000,False,3,5,Winogrady,29
225316,False,2,0,Starołęka,33
186600,False,2,2,Starołęka,62
336474,False,3,4,Winogrady,27
299513,False,2,1,Starołęka,85
257000,False,3,1,Winogrady,76
244071,False,2,2,Starołęka,52
291838,False,2,0,Starołęka,55
322276,False,2,3,Winogrady,98
280860,False,2,1,Winogrady,30
297600,False,2,3,Winogrady,50
349668,False,2,1,Garbary,44
321656,False,2,1,Winogrady,88
302176,False,2,2,Malta,45
199000,True,2,1,Grunwald,33
363000,True,3,2,Grunwald,77
375000,True,3,4,Winogrady,65
287000,True,2,10,Winogrady,47
230000,True,2,1,Dębiec,37
365000,True,3,2,Rataje,65
389000,True,3,1,Naramowice,20
325000,True,2,2,Grunwald,35
391729,False,3,2,Winogrady,21
479000,True,3,3,Grunwald,23
249000,True,2,10,Grunwald,42
286000,True,2,5,Centrum,49
313000,True,2,4,Piątkowo,49
409000,True,3,1,Rataje,62
255000,True,2,1,Nowe,49
270000,True,3,4,Jeżyce,50
699000,True,2,1,Grunwald,68
330000,True,2,3,Wilda,53
335000,True,3,16,Rataje,80
488000,True,3,3,Grunwald,70
339000,True,3,1,Jeżyce,65
410000,True,3,5,Grunwald,81
269000,True,2,4,Naramowice,43
710000,True,5,7,Grunwald,91
359600,False,3,5,Grunwald,58
249441,False,2,2,Jeżyce,50
440000,True,4,1,Grunwald,95
389000,True,3,2,Jeżyce,50
590000,True,4,3,Rataje,90
706655,False,3,2,Nowe,45
269000,True,2,6,Rataje,70
240000,True,2,16,Rataje,36
310000,True,2,2,Centrum,53
240000,False,3,0,Nowe,64
230000,True,2,0,Grunwald,52
770000,True,4,1,Centrum,142
249000,True,2,4,Rataje,44
350000,True,2,1,Rataje,54
313000,True,2,4,Piątkowo,49
310000,True,2,2,Śródka,72
569000,True,4,0,Wilda,50
460000,True,4,2,Bonin,87
485000,True,2,2,Centrum,55
286000,True,2,5,Centrum,80
364000,True,3,1,Grunwald,62
299000,True,3,3,Wilda,66
365000,True,2,5,Wilda,30
237000,True,2,10,Grunwald,38
425000,True,4,6,Rataje,85
332160,True,2,1,Grunwald,60
230000,True,2,1,Dębiec,37
249000,True,2,10,Grunwald,42
270000,True,3,4,Rataje,48
350000,True,2,4,Jeżyce,56
309000,True,2,3,Grunwald,56
283500,True,2,0,Stare,50
177595,False,2,0,Nowe,29
339000,True,2,2,Centrum,53
399000,True,3,1,Grunwald,65
329000,True,3,3,Piątkowo,60
706655,False,3,2,Nowe,45
289000,True,2,2,Jeżyce,42
389000,True,3,0,Wilda,67
375000,True,3,4,Wilda,40
319000,True,3,2,Wilda,66
310000,True,3,0,Grunwald,60
252000,True,2,12,Winogrady,47
249147,False,2,4,Zawady,71
649000,True,4,0,Winogrady,80
204000,True,2,0,Grunwald,37
389000,True,3,4,Rataje,84
369000,True,3,0,Grunwald,87
300000,True,2,1,Naramowice,52
470000,True,4,2,Sołacz,87
326000,True,2,1,Winogrady,39
655000,True,3,4,Stare,60
348000,True,3,9,Rataje,65
399000,True,3,1,Bonin,68
390000,True,3,2,Podolany,68
265000,True,2,0,Centrum,40
279999,True,3,4,Winogrady,54
280000,True,3,9,Jeżyce,49
419000,True,2,0,Malta,56
249000,True,2,4,Grunwald,38
259000,True,2,3,Żegrze,49
270000,True,2,0,Jeżyce,20
349000,True,3,2,Grunwald,39
349000,True,2,3,Piątkowo,60
548000,True,3,1,Grunwald,84
249000,True,2,10,Grunwald,43
549000,True,3,2,Dąbrowskiego,106
290000,True,2,6,Piątkowo,49
442827,False,4,2,Starołęka,14
530000,True,3,0,Grunwald,63
279000,True,3,1,Plewiska,50
410000,True,2,5,Rataje,50
396000,True,3,1,Wilda,50
279000,True,2,1,Stare,60
399000,True,3,4,Piątkowo,16
329000,True,2,2,Jeżyce,45
270000,True,3,10,Grunwald,52
360000,True,2,0,Centrum,57
255000,True,3,2,Grunwald,20
395000,True,3,1,Grunwald,100
139000,True,2,0,Grunwald,49
320000,True,3,4,Winogrady,50
899000,True,4,0,Stare,100
237000,True,2,2,Dębiec,44
425000,True,3,1,Rataje,70
315000,True,2,0,Winogrady,53
485000,True,2,2,Centrum,55
365000,True,3,1,Żegrze,88
345000,True,3,1,Winogrady,17
319000,True,3,3,Rataje,50
265000,True,2,0,Dębiec,50
978000,True,4,5,Centrum,106
489000,True,2,5,Centrum,53
382280,True,3,3,Centrum,80
267900,True,2,6,Winogrady,30
259000,True,2,3,Lazarz,47
280000,True,2,4,Rataje,63
250000,True,4,1,Wilda,31
340000,True,2,2,Naramowice,16
160000,True,2,0,Podolany,27
390000,True,2,0,Centrum,60
469000,True,2,1,Winogrady,30
429000,True,3,4,Dębiec,50
270000,True,2,2,Naramowice,52
330000,True,3,0,Jeżyce,78
279000,True,2,1,Stare,60
289000,True,2,6,Jeżyce,49
449000,True,4,1,Górczyn,90
499000,True,4,4,Stare,85
270000,True,2,16,Rataje,49
295000,True,2,0,Stare,44
210000,True,2,2,Dębiec,40
519000,True,3,1,Rataje,50
490000,True,4,0,Naramowice,40
300000,True,2,1,Stare,23
325000,True,3,4,Jeżyce,30
238000,True,2,13,Rataje,49
329000,True,3,1,Piątkowo,63
270000,True,2,0,Piątkowo,43
395000,True,3,0,Grunwald,70
330000,True,2,1,Jeżyce,50
439000,True,4,2,Grunwald,89
259500,True,2,0,Grunwald,55
355000,True,2,4,Jeżyce,56
282000,True,2,1,Jeżyce,38
335000,True,2,2,Górczyn,52
375000,True,2,1,Grunwald,51
399000,True,3,4,Stare,70
474000,False,4,0,Plewiska,30
309000,True,2,0,Grunwald,55
379000,True,3,0,Rataje,57
399000,True,3,1,Nowe,62
570000,True,3,5,Grunwald,60
105000,True,2,3,Nowe,50
296000,True,3,6,Dębiec,63
326000,True,2,1,Winiary,39
1725000,True,3,0,Stare,136
350550,True,3,4,Stare,50
252000,True,2,12,Winogrady,47
368000,True,2,2,Wilda,67
549000,True,3,3,Grunwald,60
409000,True,3,1,Rataje,90
362000,True,2,1,Centrum,50
250000,True,3,2,Nowe,80
399900,True,4,2,Nowe,66
429000,True,3,4,Wilda,60
370000,True,2,0,Górczyn,65
274000,True,2,1,Górczyn,13
239000,True,2,3,Piątkowo,59
259000,True,2,2,Rataje,90
246330,True,2,0,Wilda,55
289000,True,3,4,Winogrady,48
100000,True,3,4,Stare,70
270000,True,2,2,Sołacz,60
430000,True,2,3,Grunwald,70
355000,True,2,0,Podolany,93
287000,True,2,11,Winogrady,47
1200000,False,5,0,Starołęka,193
305000,True,3,3,Winogrady,48
329000,True,3,3,Piątkowo,60
315000,True,3,0,Piątkowo,63
267705,True,2,2,Grunwald,45
247707,True,2,1,Jeżyce,50
388750,True,4,5,Winogrady,65
371931,True,4,4,Jeżyce,57
232408,True,2,0,Stare,38
247708,True,2,1,Jeżyce,50
242731,True,2,0,Jeżyce,50
247710,True,2,1,Jeżyce,50
339200,True,3,1,Jeżyce,53
349100,True,4,0,Rataje,85
296277,True,3,1,Stare,49
333694,True,3,1,Jeżyce,68
250000,True,2,0,Naramowice,40
200000,True,2,0,Rataje,30
470000,True,4,2,Sołacz,87
370000,True,4,4,Piątkowo,76
315000,True,3,0,Piątkowo,60
287000,True,2,10,Winogrady,80
230000,True,2,3,Nowe,47
900000,True,3,3,Centrum,120
399000,True,3,4,Piątkowo,16
250000,True,2,6,Sołacz,71
318000,True,2,4,Piątkowo,20
269000,True,2,9,Rataje,49
239592,True,2,5,Grunwald,59
307881,True,3,0,Grunwald,16
319055,True,3,3,Grunwald,21
267702,True,2,2,Grunwald,22
299000,True,3,2,Dębiec,70
435000,True,3,0,Stare,25
690000,True,2,0,Grunwald,60
204450,True,2,1,Nowe,33
228144,True,3,2,Nowe,56
285383,True,2,1,Winogrady,37
391729,True,3,2,Winogrady,21
330000,True,3,0,Jeżyce,78
269984,True,3,4,Winogrady,76
344141,True,2,8,Winogrady,47
318384,True,3,6,Jeżyce,24
249641,True,2,0,Jeżyce,54
177000,True,2,2,Dębiec,33
325000,True,2,2,Jeżyce,56
429000,True,3,4,Rataje,70
380000,True,3,3,Dolna,67
448995,True,2,3,Jeżyce,66
350000,True,2,3,Jeżyce,70
269000,True,2,2,Dolna,38
620000,True,3,1,Grunwald,96
275000,True,2,0,Lazarz,52
440000,True,2,0,Centrum,40
505877,False,2,5,Centrum,22
886860,False,3,5,Centrum,80
502136,False,2,5,Centrum,77
798966,False,2,5,Centrum,33
561663,False,3,4,Centrum,69
396248,False,2,4,Centrum,77
368019,False,2,4,Centrum,18
542141,False,3,4,Centrum,53
698508,False,4,4,Centrum,59
394787,False,2,4,Centrum,71
597184,False,3,4,Centrum,61
354177,False,2,3,Centrum,25
353537,False,2,3,Centrum,17
509468,False,3,3,Centrum,53
652026,False,4,3,Centrum,89
353457,False,2,3,Centrum,16
356818,False,2,3,Centrum,58
496573,False,3,2,Centrum,78
349668,False,2,2,Centrum,15
481903,False,3,2,Centrum,53
309978,False,2,2,Centrum,16
389528,False,2,2,Centrum,87
341776,False,2,2,Centrum,14
374216,False,2,2,Centrum,71
534523,False,3,2,Centrum,62
377418,False,2,1,Centrum,87
330255,False,2,1,Centrum,14
505032,False,3,1,Centrum,62
375000,True,4,0,Grunwald,67
375000,True,5,0,Grunwald,67
363000,True,3,2,Grunwald,73
495000,True,3,1,Grunwald,40
270000,True,3,1,Starołęka,30
365000,True,2,2,Grunwald,51
450000,True,4,1,Grunwald,113
190520,True,2,3,Nowe,30
228492,True,2,1,Nowe,93
169620,True,2,1,Nowe,55
145000,True,2,1,Nowe,54
270000,True,3,4,Rataje,48
370000,True,4,4,Piątkowo,76
289000,True,3,3,Grunwald,52
585000,True,3,4,Jeżyce,59
335000,True,3,7,Rataje,63
329000,True,3,3,Piątkowo,60
269000,True,2,0,Grunwald,46
298000,True,2,4,Wilda,45
398000,True,3,1,Grunwald,70
395000,True,4,0,Grunwald,60
389000,True,3,0,Wilda,96
429000,True,3,4,Wilda,47
715000,True,3,1,Wilda,95
460000,True,2,2,Centrum,56
555000,True,4,0,Stare,20
655000,True,3,4,Stare,60
188000,True,2,3,Stare,70
390000,True,2,0,Nowe,61
425000,True,2,9,Nowe,50
359400,True,3,1,Stare,72
497400,True,3,0,Wilda,48
604395,True,5,1,Wilda,31
330615,True,2,2,Stare,79
290970,True,2,0,Stare,60
283340,True,2,0,Stare,70
282880,True,2,3,Stare,20
339500,True,3,7,Nowe,80
850000,True,2,7,Stare,69
380000,True,4,6,Stare,90
800000,True,4,3,Stare,103
514000,True,4,1,Jeżyce,120
290000,True,2,1,Stare,42
640000,True,3,2,Stare,47
1140000,True,6,0,Stare,40
561000,True,2,4,Stare,50
400000,True,2,1,Świerczewo,60
220000,True,2,4,Grunwald,43
490000,True,3,1,Jeżyce,115
298000,True,2,4,Wilda,45
449000,True,2,3,Jeżyce,60
237000,True,2,2,Dębiec,44
480000,True,2,2,Garbary,56
298000,True,2,4,Wilda,37
255000,True,2,3,Wilda,52
480000,True,3,0,Stare,30
451000,True,3,2,Wilda,30
370000,True,3,4,Stare,84
529000,True,3,3,Centrum,108
360000,True,4,0,Grunwald,66
419000,True,4,0,Kopernika,60
350000,True,2,0,Stare,50
348000,True,3,9,Rataje,65
525000,True,4,3,Nowe,88
450000,True,6,4,Wilda,90
449000,True,4,2,Grunwald,90
420000,True,3,0,Winogrady,58
360000,True,3,3,Stare,63
1000000,True,4,1,Centrum,103
649400,False,3,4,Rataje,50
311570,False,2,4,Rataje,51
383928,False,3,3,Rataje,46
309741,False,2,3,Rataje,89
359000,True,2,0,Grunwald,46
295734,False,2,3,Rataje,86
384540,False,3,3,Rataje,55
480000,True,3,1,Grunwald,40
380091,False,3,2,Rataje,73
293352,False,2,1,Rataje,14
307156,False,2,1,Rataje,17
293352,False,2,1,Rataje,14
535000,True,2,3,Lazarz,59
375606,False,3,1,Rataje,91
293488,False,3,0,Rataje,94
307428,False,2,0,Rataje,21
293488,False,2,0,Rataje,16
375408,False,3,0,Rataje,88
299000,True,2,0,Piątkowo,47
243828,False,2,4,Podolany,68
348835,False,3,3,Podolany,63
256171,False,2,3,Podolany,79
298116,False,2,3,Podolany,96
306247,False,2,3,Podolany,35
337602,False,3,3,Podolany,71
244647,False,2,3,Podolany,82
641000,True,3,3,Lazarz,75
277000,True,2,10,Nowe,80
549000,True,4,0,Piątkowo,115
499000,True,3,1,Suchy,95
539000,True,4,2,Jeżyce,110
450000,True,2,2,Grunwald,70
242000,True,2,1,Grunwald,52
310000,True,3,4,Jeżyce,50
259000,True,2,3,Winogrady,40
475000,True,3,4,Wilda,66
120000,True,3,3,Grunwald,35
270000,True,3,4,Rataje,48
1850000,True,5,1,Grunwald,196
350000,True,4,4,Grunwald,50
280000,True,4,4,Grunwald,40
490000,True,4,4,Grunwald,70
495000,True,3,1,Naramowice,70
545000,True,3,0,Rataje,71
310000,True,3,10,Rataje,80
215000,True,2,0,Wilda,36
295000,True,2,4,Garbary,33
200000,True,2,8,Dębiec,50
359900,True,4,4,Rataje,74
320000,True,3,3,Jeżyce,70
300000,True,2,1,Naramowice,23
535000,True,4,2,Wilda,120
620000,True,3,2,Naramowice,60
597000,True,3,0,Naramowice,60
399000,True,3,0,Winogrady,62
390000,True,3,0,Grunwald,75
310000,True,2,1,Rataje,30
365000,True,3,1,Rataje,88
382000,True,3,3,Centrum,30
299000,True,2,2,Sołacz,58
299000,True,2,2,Sołacz,58
499000,True,3,1,Grunwald,64
549000,True,3,2,Jeżyce,106
549000,True,3,2,Jeżyce,106
413000,True,3,3,Lazarz,46
259000,True,2,1,Jeżyce,47
949000,True,3,4,Śródka,98
949000,True,3,4,Śródka,98
270000,True,3,4,Rataje,48
348000,True,3,9,Nowe,65
260000,True,2,0,Lawica,60
370000,True,4,4,Stare,60
399000,True,3,4,Stare,16
369000,True,4,3,Grunwald,74
224000,True,2,0,Lazarz,50
260000,True,3,4,Grunwald,49
315000,True,3,0,Piątkowo,60
379999,True,3,3,Wilda,67
350000,True,2,1,Rataje,63
270000,True,2,4,Grunwald,38
439000,True,4,2,Lazarz,92
519000,True,3,1,Rataje,50
290000,True,2,2,Dębiec,66
326000,True,2,4,Lazarz,80
240000,True,2,3,Grunwald,42
389000,True,3,0,Wilda,67
420000,True,3,2,Dębiec,91
279000,True,2,1,Naramowice,51
220000,True,2,4,Grunwald,43
465360,True,2,2,Grunwald,17
777280,True,3,3,Grunwald,16
1000000,True,4,1,Stare,146
350000,True,2,3,Rataje,50
469000,True,4,2,Jeżyce,87
253498,True,2,5,Jeżyce,38
334752,True,3,3,Jeżyce,51
374792,True,4,5,Jeżyce,57
329000,True,3,4,Rataje,63
349668,False,2,2,Stare,15
297420,False,2,3,Grunwald,24
297420,False,2,3,Grunwald,24
220000,True,2,1,Jeżyce,60
399000,True,3,1,Sołacz,66
488000,True,3,3,Grunwald,70
220000,True,2,4,Grunwald,43
390000,True,3,2,Podolany,68
299000,True,2,0,Wilda,52
234000,True,2,0,Wilda,37
375000,True,3,2,Wilda,90
820000,True,4,0,Centrum,163
320000,True,3,4,Winogrady,50
420000,False,4,0,Grunwald,82
495000,True,4,1,Stare,98
279000,True,2,1,Stare,52
620000,True,3,1,Stare,99
329000,True,2,1,Stare,54
699000,True,3,2,Stare,92
487000,True,3,0,Stare,73
375000,True,3,0,Naramowice,69
269000,True,2,9,Rataje,49
220000,True,2,4,Grunwald,43
230000,True,2,1,Dębiec,38
435000,True,2,0,Górczyn,60
390000,True,3,2,Podolany,68
446240,True,2,1,Grunwald,78
390000,True,3,2,Podolany,68
619000,True,3,2,Winogrady,100
240000,True,2,3,Dębiec,50
270000,True,3,4,Rataje,48
244968,True,2,0,Stare,42
285679,True,2,4,Winogrady,48
260000,True,2,6,Winiary,70
585000,True,4,1,Piątkowo,100
329000,True,3,1,Piątkowo,63
269000,True,2,0,Naramowice,46
348000,True,3,9,Rataje,65
270000,True,3,4,Rataje,48
359605,True,3,5,Grunwald,58
375529,False,2,3,Stare,71
247705,False,2,1,Podolany,74
247705,False,2,1,Piątkowo,74
156085,False,2,4,Głuszyna,45
411684,False,3,3,Winogrady,17
349000,False,4,0,Szczepankowo,29
277823,False,2,2,Podolany,70
249733,False,2,0,Ogrody,54
424377,False,4,2,Starołęka,14
282944,False,2,0,Starołęka,59
460499,False,3,1,Stare,51
270000,True,3,0,Grunwald,48
350000,True,4,1,Wilda,80
350000,True,4,4,Winogrady,90
323000,True,4,0,Winogrady,56
649000,True,4,4,Centrum,109
341704,True,3,8,Grunwald,56
297421,True,2,3,Grunwald,50
245832,True,2,2,Grunwald,40
285384,True,2,4,Winogrady,48
240000,True,2,1,Wilda,40
345865,True,3,2,Jeżyce,21
261000,True,2,2,Jeżyce,57
400000,True,3,2,Jeżyce,74
400000,True,2,2,Jeżyce,74
348000,True,3,9,Rataje,65
369000,True,2,2,Grunwald,51
339000,True,3,0,Rataje,63
250000,True,2,4,Rataje,23
245000,True,2,4,Rataje,44
240000,True,2,2,Dębiec,48
262000,True,2,4,Grunwald,60
395000,True,4,1,Smochowice,69
313000,True,2,4,Piątkowo,50
409000,True,3,1,Malta,90
599000,True,3,3,Grunwald,83
289000,True,2,2,Jeżyce,42
390000,True,3,3,Naramowice,48
313000,True,2,4,Piątkowo,49
375000,True,4,2,Centrum,72
350000,True,3,1,Naramowice,51
304140,False,3,5,Winogrady,18
353275,False,2,14,Grunwald,74
244071,False,2,1,Nowe,93
348000,True,3,9,Rataje,65
320000,True,3,4,Winogrady,53
348000,True,3,9,Rataje,65
348000,True,3,9,Rataje,65
230000,True,2,1,Dębiec,37
238000,True,2,2,Grunwald,37
392000,True,4,0,Piątkowo,74
380000,True,4,2,Piątkowo,74
329000,True,2,4,Górczyn,20
347000,True,3,1,Naramowice,47
259900,True,2,6,Winogrady,38
590000,True,5,3,Piątkowo,125
320000,True,2,1,Naramowice,53
432000,True,2,5,Centrum,40
435000,True,3,1,Piątkowo,84
389000,True,2,1,Podolany,46
799999,True,3,1,Sołacz,90
310000,True,3,3,Piątkowo,60
260000,True,3,0,Jeżyce,74
266000,True,2,2,Piątkowo,49
316498,True,2,2,Stare,77
519000,True,3,1,Rataje,50
442150,True,2,2,Stare,75
395000,True,3,2,Centrum,74
599000,True,2,1,Centrum,70
459000,True,2,1,Centrum,48
339000,True,3,1,Winogrady,51
375000,True,3,2,Jeżyce,50
289000,True,2,4,Ogrody,41
230000,True,2,5,Winogrady,60
440000,True,2,4,Centrum,55
599000,True,3,2,Centrum,80
343200,True,3,4,Winogrady,52
385000,True,2,1,Centrum,60
300000,True,3,3,Centrum,88
529000,True,4,4,Centrum,85
349000,True,3,3,Wilda,82
405000,True,4,2,Nowe,71
355000,True,2,4,Jeżyce,89
235000,True,2,0,Górczyn,50
495000,True,4,1,Grunwald,64
285000,True,2,3,Wilda,60
385000,True,3,4,Lazarz,82
379999,True,3,3,Wilda,67
370000,True,2,13,Rataje,67
450000,True,3,0,Naramowice,71
479000,True,3,3,Górczyn,70
439000,True,4,2,Lazarz,40
385000,True,3,0,Lazarz,80
550000,True,4,1,Lazarz,50
260000,True,3,4,Grunwald,47
755000,True,4,2,Lazarz,90
319000,True,2,0,Górczyn,54
380000,True,3,1,Lazarz,30
530000,True,3,1,Piątkowo,76
900000,True,3,2,Grunwald,112
375000,True,3,8,Piątkowo,75
576500,True,2,5,Centrum,50
576500,True,2,5,Chwaliszewo,50
438503,True,3,2,Centrum,57
354454,False,2,3,Grunwald,17
489780,False,4,2,Górczyn,63
491520,False,4,1,Górczyn,92
273875.5,False,2,1,Grunwald,13
267000,True,2,2,Dębiec,35
260000,True,2,2,Piątkowo,90
587000,True,4,3,Lazarz,38
460000,True,3,1,Naramowice,110
695000,True,4,1,Rataje,70
506657,True,4,11,Grunwald,73
298250,True,2,5,Grunwald,38
297421,True,2,2,Grunwald,24
275000,True,2,9,Nowe,38
267000,True,2,4,Nowe,70
447000,True,3,4,Grunwald,20
349900,True,3,4,Wilda,42
360000,True,4,0,Centrum,66
525000,True,4,3,Jeżyce,70
450000,True,3,2,Strzeszyn,70
690000,True,4,5,Górczyn,25
334000,True,2,4,Sołacz,50
240000,True,2,3,Jeżyce,43
307000,True,3,2,Rataje,48
307000,True,2,2,Rataje,48
345000,True,3,8,Nowe,63
333694,False,3,1,Podolany,32
333694,False,3,1,Piątkowo,38
299000,True,3,0,Grunwald,53
389000,True,3,3,Stare,49
310000,True,2,2,Centrum,74
220000,True,2,0,Grunwald,50
332800,True,2,1,Grunwald,52
240000,True,2,2,Stare,38
323206,False,2,2,Naramowice,50
558745,False,3,3,Stare,62
290000,True,2,6,Jeżyce,49
285000,True,2,3,Piątkowo,49
365000,True,3,1,Rataje,67
263000,True,2,1,Rataje,47
289000,True,2,2,Jeżyce,42
265000,True,3,4,Grunwald,48
310000,True,2,1,Nowe,40
300000,True,3,2,Winogrady,48
565964,True,2,5,Centrum,49
747000,True,3,7,Rataje,84
275000,True,2,0,Naramowice,50
405000,True,4,2,Rataje,71
491520,True,4,1,Górczyn,92
363258,True,2,1,Górczyn,59
305739,True,2,2,Górczyn,53
399000,True,3,4,Piątkowo,69
280000,True,2,1,Sołacz,38
299900,True,2,0,Dębiec,48
420000,True,2,3,Naramowice,59
650000,True,4,8,Rataje,100
329000,True,3,3,Wilda,82
355000,True,3,2,Piątkowo,66
375000,True,3,2,Rataje,79
200000,True,3,4,Nowe,44
315000,True,2,2,Zawady,52
259000,True,2,3,Rataje,49
379000,True,3,2,Podolany,56
354454,True,2,3,Górczyn,17
